game_dir,game_name,latest_backup_utc,backup_snapshots,backup_file_count,total_size_bytes,save_like_file_count,lutris_id,lutris_slug,lutris_runner,lutris_platform,lutris_categories,lutris_playtime_hours,lutris_playtime_text,lutris_lastplayed_utc,steam_appid,steam_playtime_hours,steam_playtime_text,steam_lastplayed_utc,steam_installed,playtime_text,lastplayed_utc,installed,story_progress_text,story_source,story_confidence,notes
Meccha Chameleon,Meccha Chameleon,2026-07-31T10:42:51.670806831Z,1,4,32345,2,41,meccha-chameleon,steam,Linux,,0.0,0m,,4704690,2.6666666666666665,2h 40m,2026-07-07T20:04:44+00:00,1,2h 40m,2026-07-07T20:04:44+00:00,1,,,,Current playtime came from the local Lutris database. Current playtime came from the Steam Web API.
Midtown Madness,Midtown Madness,2026-04-09T16:47:02.164808625Z,1,8,108027,2,30,midtown-madness,wine,Windows,,1.01367,1h 1m,2026-04-09T16:50:30+00:00,,,,,0,1h 1m,2026-04-09T16:50:30+00:00,1,,,,Current playtime came from the local Lutris database.
Minecraft_ Java Edition,Minecraft: Java Edition,2025-12-30T22:16:46.929775423Z,1,43,22941543,42,,,,,,,,,,,,,0,,2025-12-30T22:16:46.929775423Z,0,,,,
steam-606150,Moonlighter,,0,0,0,0,,,,,,,,,606150,0.0,0m,,0,0m,,0,,,,No ludusavi backup; this entry comes from the Steam library.
Need for Speed_ Most Wanted,Need for Speed: Most Wanted,2026-08-17T06:13:56.327334262Z,1,4,4638027,0,7,need-for-speed-most-wanted,wine,Windows,,5.77225,5h 46m,2026-08-17T05:43:31+00:00,,,,,0,5h 46m,2026-08-17T05:43:31+00:00,1,,,,Current playtime came from the local Lutris database.
Neighbours Back from Hell,Neighbours Back from Hell,2025-12-30T21:47:21.673473641Z,1,2,3423,1,11,neighbours-back-from-hell,wine,Windows,,2.436306050966389,2h 26m,2025-12-23T05:21:08+00:00,,,,,0,2h 26m,2025-12-23T05:21:08+00:00,1,,,,Current playtime came from the local Lutris database.
NieR_ Automata,NieR: Automata,2026-01-03T11:33:23.434843819Z,1,3,1984,1,44,nierautomata,steam,Linux,,0.016666666666666666,1m,,524220,0.016666666666666666,1m,2026-01-03T11:09:46+00:00,1,1m,2026-01-03T11:09:46+00:00,1,,,,Current playtime came from the local Lutris database. Current playtime came from the Steam Web API.
No More Room in Hell,No More Room in Hell,2026-07-05T17:24:47.914933396Z,1,17,15045,0,46,no-more-room-in-hell,steam,Linux,,17.016666666666666,17h 1m,,224260,17.016666666666666,17h 1m,2026-01-29T09:02:21+00:00,1,17h 1m,2026-01-29T09:02:21+00:00,1,,,,Current playtime came from the local Lutris database. Current playtime came from the Steam Web API.
OpenRCT2,OpenRCT2,2026-07-31T10:42:54.964113511Z,1,2211,124214027,4,,,,,,,,,,,,,0,,2026-07-31T10:42:54.964113511Z,0,,,,
Outlast 2,Outlast 2,2026-07-24T23:49:55.370575815Z,1,14,201515,3,16,outlast-ii,steam,Linux,Backlog,7.9,7h 54m,,414700,7.9,7h 54m,2026-07-24T23:33:47+00:00,1,7h 54m,2026-07-24T23:33:47+00:00,1,,,,Current playtime came from the local Lutris database. Current playtime came from the Steam Web API.
Portal 2,Portal 2,2026-07-24T23:49:55.843720097Z,1,94,3940958,7,14,portal-2,steam,Linux,,0.5166666666666667,31m,,620,0.5166666666666667,31m,2026-07-24T23:30:06+00:00,1,31m,2026-07-24T23:30:06+00:00,1,Current map marker: sp_a1_wakeup,Portal 2/drive-0/run/media/x3ero0/Games/SteamLibrary/steamapps/common/Portal 2/portal2/SAVE/76561198932536703/1769071977.sav,low,Current playtime came from the local Lutris database. Current playtime came from the Steam Web API. Portal 2 progress uses the first map marker found in the newest save.
steam-578080,PUBG: BATTLEGROUNDS,,0,0,0,0,,,,,,,,,578080,10.416666666666666,10h 25m,,0,10h 25m,,0,,,,No ludusavi backup; this entry comes from the Steam library.
Quarantine Zone_ The Last Check,Quarantine Zone: The Last Check,2026-01-25T09:26:06.629545780Z,1,29,35820119,2,,,,,,,,,,,,,0,,2026-01-25T09:26:06.629545780Z,0,,,,
Resident Evil 4,Resident Evil 4,2026-08-14T08:17:15.698863304Z,1,22,38626792,0,37,resident-evil-4-1,wine,Windows,Backlog,13.599548520106671,13h 36m,2026-08-13T18:32:18+00:00,,,,,0,13h 36m,2026-08-13T18:32:18+00:00,1,,,,Current playtime came from the local Lutris database.
Resident Evil Requiem,Resident Evil Requiem,2026-07-31T10:42:53.858901709Z,1,1,12610,0,35,resident-evil-requiem,wine,Windows,Backlog,1.8408943528377777,1h 50m,2026-07-30T22:53:07+00:00,,,,,0,1h 50m,2026-07-30T22:53:07+00:00,1,,,,Current playtime came from the local Lutris database.
ReStory_ Chill Electronics Repairs,ReStory: Chill Electronics Repairs,2026-08-20T05:09:32.878343514Z,1,8,170594,0,,,,,,,,,3812600,2.5166666666666666,2h 31m,2026-08-20T03:29:57+00:00,1,2h 31m,2026-08-20T03:29:57+00:00,1,,,,Current playtime came from the Steam Web API.
steam-755790,Ring of Elysium,,0,0,0,0,,,,,,,,,755790,1.1166666666666667,1h 7m,,0,1h 7m,,0,,,,No ludusavi backup; this entry comes from the Steam library.
Schedule I,Schedule I,2026-01-27T17:07:27.658753220Z,1,104,8582592,2,,,,,,,,,,,,,0,,2026-01-27T17:07:27.658753220Z,0,,,,
The Elder Scrolls V_ Skyrim Special Edition,The Elder Scrolls V: Skyrim Special Edition,2026-01-30T08:24:06.001922826Z,1,2,5797,0,,,,,,,,,,,,,0,,2026-01-30T08:24:06.001922826Z,0,,,,
steam-2345630,The Gap,,0,0,0,0,,,,,,,,,2345630,0.5833333333333334,35m,2026-07-30T07:29:23+00:00,1,35m,2026-07-30T07:29:23+00:00,1,,,,No ludusavi backup; this entry comes from the Steam library.
steam-3404410,The New Apartment,,0,0,0,0,,,,,,,,,3404410,0.5,30m,2026-07-25T22:18:37+00:00,1,30m,2026-07-25T22:18:37+00:00,1,,,,No ludusavi backup; this entry comes from the Steam library.
steam-3836910,The Observatory,,0,0,0,0,,,,,,,,,3836910,0.2833333333333333,17m,2026-07-31T11:05:19+00:00,1,17m,2026-07-31T11:05:19+00:00,1,,,,No ludusavi backup; this entry comes from the Steam library.
steam-1304930,The Outlast Trials,,0,0,0,0,,,,,,,,,1304930,3.1,3h 6m,,0,3h 6m,,0,,,,No ludusavi backup; this entry comes from the Steam library.
The Walking Dead_ The Telltale Definitive Series,The Walking Dead: The Telltale Definitive Series,2026-07-21T18:15:03.663486784Z,1,524,5103399,40,15,the-walking-dead-the-telltale-definitive-series,steam,Linux,Backlog,14.483333333333333,14h 29m,,1449690,14.483333333333333,14h 29m,2026-07-21T18:11:15+00:00,1,14h 29m,2026-07-21T18:11:15+00:00,1,Reached checkpoint 11 in save slot 1,The Walking Dead_ The Telltale Definitive Series/drive-0/run/media/x3ero0/Games/SteamLibrary/steamapps/compatdata/1449690/pfx/drive_c/users/steamuser/Documents/Telltale Games/The Walking Dead Definitive/_wd2_saveSlot1_checkpoint11.bundle,medium,Current playtime came from the local Lutris database. Current playtime came from the Steam Web API. Walking Dead progress is based on internal checkpoint bundle numbers.
steam-292030,The Witcher 3: Wild Hunt,,0,0,0,0,,,,,,,,,292030,0.0,0m,,0,0m,,0,,,,No ludusavi backup; this entry comes from the Steam library.
Total Overdose_ A Gunslinger's Tale in Mexico,Total Overdose: A Gunslinger's Tale in Mexico,2026-08-20T05:40:24.490598616Z,1,3,4343055,0,52,total-overdose-a-gunslingers-tale-in-mexico,wine,Windows,,0.012778952157500056,1m,2026-08-20T05:33:26+00:00,,,,,0,1m,2026-08-20T05:33:26+00:00,1,,,,Current playtime came from the local Lutris database.
steam-304930,Unturned,,0,0,0,0,,,,,,,,,304930,0.23333333333333334,14m,,0,14m,,0,,,,No ludusavi backup; this entry comes from the Steam library.
steam-243470,Watch_Dogs,,0,0,0,0,,,,,,,,,243470,0.0,0m,,0,0m,,0,,,,No ludusavi backup; this entry comes from the Steam library.
steam-582500,We Were Here,,0,0,0,0,,,,,,,,,582500,4.216666666666667,4h 13m,,0,4h 13m,,0,,,,No ludusavi backup; this entry comes from the Steam library.
